hotel_name,website,room_types,prices,check_in,check_out,amenities,location,phone,email,description,status,error_reason,scraped_at
The Emin Pasha Hotel & Spa,https://www.eminpasha.com,Ooms Standard Room Deluxe Room Delu | Room Deluxe Room Deluxe Suite Super | Luxe Suite Superior Suite Two-Bedro | Uite Superior Suite Two-Bedroom Apa | Room Apartment Conferences Restaura | Two-Bedroom Apartment | Superior Suite | Deluxe Suite,Not publicly listed,Not found,Not found,Pool | Swimming | Spa | Restaurant | Ac | Conference,"Plot 27 Akii Bua Road Nakasero P.O. Box 74764, Kampala Uganda+256 312264712info@eminpasha.com",+256 312264712,info@eminpasha.com,"TheEmin Pasha Hotel & Spais one of Kampala’s most distinguished boutique hotels, blending historic charm with modern luxury. Set within beautifully landscaped gardens in the heart of Nakasero, the hotel offers a peaceful retreat while remaining close to the city’s business and cultural attractions. ",SUCCESS,,2026-09-26 10:22:46
Speke Hotel - Since 1920 | With The Best Luxury Hotel Facilities,https://www.spekehotel.com,Tion Deluxe Single Room Deluxe Doub | 50 Ensuite Rooms And All The Modern | Luxe Double Room Deluxe Twin Room R | Luxe Single Room Deluxe Double Room | Luxe Twin Room Restaurant & Leisure | With Family Or Friends.When You Set | DELUXE SINGLE ROOM | DELUXE DOUBLE ROOM,Not publicly listed,Not found,Not found,Restaurant | Bar | Ac | Conference,Plot 7-9 Nile Avenue,+256 752 711 710,reception@spekehotel.com,"Speke Hotel is the fine wine of class, sophistication and hospitality.Over the years, Speke Hotel has defined the kind of which couches the...",SUCCESS,,2026-09-26 10:22:52
Fairwayhotel,https://www.fairwayhotel.co.ug,Not found,Not publicly listed,Not found,Not found,Not listed,Uganda,Not found,Not found,No description available,SUCCESS,,2026-09-26 10:22:56
https://www.golfcoursehotel.co.ug,https://www.golfcoursehotel.co.ug,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:23:07
"Imperial Group Of Hotels - Kampala, Uganda",https://www.imperialhotels.co.ug,Your Family And Friends Will Be An | Rial Apartments Accommodation Locat,Not publicly listed,Not found,Not found,Pool | Swimming | Ac | Conference,Kampala,Not found,imperialhotels@hoteleq.com,"Imperial Shopping Center, Entebbe, Uganda.",SUCCESS,,2026-09-26 10:23:10
Africanahotel,https://www.africanahotel.com,Not found,Not publicly listed,Not found,Not found,Not listed,Uganda,Not found,Not found,No description available,SUCCESS,,2026-09-26 10:23:15
https://www.kabira.co.ug,https://www.kabira.co.ug,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:23:25
https://www.humuraresorts.com,https://www.humuraresorts.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:23:31
https://www.cassialore.com,https://www.cassialore.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:23:37
https://www.laico-lakevictor.com,https://www.laico-lakevictor.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:23:43
https://www.pearlofafrica.com,https://www.pearlofafrica.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:25:19
https://www.jinjanileresort.com,https://www.jinjanileresort.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:25:26
https://www.sourcenilehotel.com,https://www.sourcenilehotel.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:25:32
https://www.nkuringobwindi.com,https://www.nkuringobwindi.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:25:38
https://www.ihamba.com,https://www.ihamba.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:25:44
https://www.budongosafarilodge.com,https://www.budongosafarilodge.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-09-26 10:25:50
