hotel_name,website,room_types,prices,check_in,check_out,amenities,location,phone,email,description,status,error_reason,scraped_at
The Emin Pasha Hotel & Spa,https://www.eminpasha.com,Ooms Standard Room Deluxe Room Delu | Room Deluxe Room Deluxe Suite Super | Luxe Suite Superior Suite Two-Bedro | Uite Superior Suite Two-Bedroom Apa | Room Apartment Conferences Restaura | Two-Bedroom Apartment | Superior Suite | Deluxe Suite,Not publicly listed,Not found,Not found,Pool | Swimming | Spa | Restaurant | Ac | Conference,"Plot 27 Akii Bua Road Nakasero P.O. Box 74764, Kampala Uganda+256 312264712info@eminpasha.com",+256 312264712,info@eminpasha.com,"TheEmin Pasha Hotel & Spais one of Kampala’s most distinguished boutique hotels, blending historic charm with modern luxury. Set within beautifully landscaped gardens in the heart of Nakasero, the hotel offers a peaceful retreat while remaining close to the city’s business and cultural attractions. ",SUCCESS,,2026-08-14 07:02:40
Speke Hotel - Since 1920 | With The Best Luxury Hotel Facilities,https://www.spekehotel.com,Tion Deluxe Single Room Deluxe Doub | 50 Ensuite Rooms And All The Modern | Luxe Double Room Deluxe Twin Room R | Luxe Single Room Deluxe Double Room | Luxe Twin Room Restaurant & Leisure | With Family Or Friends.When You Set | DELUXE SINGLE ROOM | DELUXE DOUBLE ROOM,Not publicly listed,Not found,Not found,Restaurant | Bar | Ac | Conference,Plot 7-9 Nile Avenue,+256 752 711 710,reception@spekehotel.com,"Speke Hotel is the fine wine of class, sophistication and hospitality.Over the years, Speke Hotel has defined the kind of which couches the...",SUCCESS,,2026-08-14 07:02:46
https://www.fairwayhotel.co.ug,https://www.fairwayhotel.co.ug,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: HTTP 403,FAILED,HTTP 403,2026-08-14 07:02:50
https://www.golfcoursehotel.co.ug,https://www.golfcoursehotel.co.ug,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:02:56
"Imperial Group Of Hotels - Kampala, Uganda",https://www.imperialhotels.co.ug,Your Family And Friends Will Be An | Rial Apartments Accommodation Locat,Not publicly listed,Not found,Not found,Pool | Swimming | Ac | Conference,Kampala,Not found,imperialhotels@hoteleq.com,"Imperial Shopping Center, Entebbe, Uganda.",SUCCESS,,2026-08-14 07:03:00
AFRICANA Hotel – AFRICANA Hotel,https://www.africanahotel.com,"Les. Standard Double Room Sleeps 2, | Ms & Suites Amenities Rooms Suites | Lity Executive Single Room Bedroom | Dard Double Room Sleeps 2, Queen Be | Dard Single Room Sleeps 2, Queen Be | 1:2 Twin Beds, Bedroom 2:2 Twin Be | Lity Family Suite Bedroom 1:2 Twin | ROOMS & SUITES",$180,Not found,Not found,Wi-Fi | Pool | Swimming | Gym | Fitness | Spa | Restaurant | Bar | Air Conditioning | Ac | Breakfast | Laundry | Meeting Room,11km Borg El Arab road king Mariout Alexandria,888-222-3456,Not found,"Africana Hotel & Spa is a 4 star hotel located in Alexandria King Mariout, Borg El Arab, 20 minutes away from Alexandria downtown, known for being the nearest Hotel to Borg El Arab area, and the nearest Hotel to Borg El Arab airport (HBE, HEBA),  Africana Hotel is known for its familiar atmosphere, ",SUCCESS,,2026-08-14 07:03:06
https://www.kabira.co.ug,https://www.kabira.co.ug,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:03:12
https://www.humuraresorts.com,https://www.humuraresorts.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:03:18
https://www.cassialore.com,https://www.cassialore.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:03:24
https://www.laico-lakevictor.com,https://www.laico-lakevictor.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:03:30
PearlOfAfrica.com is for sale | HugeDomains,https://www.pearlofafrica.com,Not found,"$21,295 | $6,395 | $2,895 | $1,695 | $887",Not found,Not found,Ac | Security,Uganda,303-893-0552,Not found,Premium domains add authority to your site. Transparent pricing. 1 year WHOIS privacy included. 30-day money back guarantee.,SUCCESS,,2026-08-14 07:03:34
https://www.jinjanileresort.com,https://www.jinjanileresort.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:03:40
https://www.sourcenilehotel.com,https://www.sourcenilehotel.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:03:46
https://www.nkuringobwindi.com,https://www.nkuringobwindi.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:03:52
https://www.ihamba.com,https://www.ihamba.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:03:58
https://www.budongosafarilodge.com,https://www.budongosafarilodge.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-08-14 07:04:05
