hotel_name,website,room_types,prices,check_in,check_out,amenities,location,phone,email,description,status,error_reason,scraped_at
https://www.eminpasha.com,https://www.eminpasha.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:47:54
Speke Hotel - Since 1920 | With The Best Luxury Hotel Facilities,https://www.spekehotel.com,Tion Deluxe Single Room Deluxe Doub | 50 Ensuite Rooms And All The Modern | Luxe Double Room Deluxe Twin Room R | Luxe Single Room Deluxe Double Room | Luxe Twin Room Restaurant & Leisure | With Family Or Friends.When You Set | DELUXE SINGLE ROOM | DELUXE DOUBLE ROOM,Not publicly listed,Not found,Not found,Restaurant | Bar | Ac | Conference,Plot 7-9 Nile Avenue,+256 752 711 710,reception@spekehotel.com,"Speke Hotel is the fine wine of class, sophistication and hospitality.Over the years, Speke Hotel has defined the kind of which couches the...",SUCCESS,,2026-07-25 07:48:00
https://www.fairwayhotel.co.ug,https://www.fairwayhotel.co.ug,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: HTTP 403,FAILED,HTTP 403,2026-07-25 07:48:03
https://www.golfcoursehotel.co.ug,https://www.golfcoursehotel.co.ug,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:48:16
"One moment, please...",https://www.imperialhotels.co.ug,Not found,Not publicly listed,Not found,Not found,Not listed,Uganda,Not found,Not found,No description available,SUCCESS,,2026-07-25 07:48:20
"One moment, please...",https://www.africanahotel.com,Not found,Not publicly listed,Not found,Not found,Not listed,Uganda,Not found,Not found,No description available,SUCCESS,,2026-07-25 07:48:24
https://www.kabira.co.ug,https://www.kabira.co.ug,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:48:32
https://www.humuraresorts.com,https://www.humuraresorts.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:48:38
https://www.cassialore.com,https://www.cassialore.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:48:44
https://www.laico-lakevictor.com,https://www.laico-lakevictor.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:48:50
PearlOfAfrica.com is for sale | HugeDomains,https://www.pearlofafrica.com,Not found,"$2,895 | $21,295 | $1,695 | $887 | $6,395",Not found,Not found,Ac | Security,Uganda,303-893-0552,Not found,Premium domains add authority to your site. Transparent pricing. 1 year WHOIS privacy included. 30-day money back guarantee.,SUCCESS,,2026-07-25 07:48:54
https://www.jinjanileresort.com,https://www.jinjanileresort.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:49:00
https://www.sourcenilehotel.com,https://www.sourcenilehotel.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:49:06
https://www.nkuringobwindi.com,https://www.nkuringobwindi.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:49:12
https://www.ihamba.com,https://www.ihamba.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:49:18
https://www.budongosafarilodge.com,https://www.budongosafarilodge.com,Failed to fetch,Failed to fetch,N/A,N/A,Failed to fetch,N/A,N/A,N/A,Could not access website: Connection failed,FAILED,Connection failed,2026-07-25 07:49:25
